Subject	Trial	Recording	Frame	Kinect	Sk_color	Hip_Center_X	Hip_Center_Y	Hip_Center_Z	Spine_X	Spine_Y	Spine_Z	Shoulder_Center_X	Shoulder_Center_Y	Shoulder_Center_Z	Head_X	Head_Y	Head_Z	Shoulder_Left_X	Shoulder_Left_Y	Shoulder_Left_Z	Elbow_Left_X	Elbow_Left_Y	Elbow_Left_Z	Wrist_Left_X	Wrist_Left_Y	Wrist_Left_Z	Hand_Left_X	Hand_Left_Y	Hand_Left_Z	Shoulder_Right_X	Shoulder_Right_Y	Shoulder_Right_Z	Elbow_Right_X	Elbow_Right_Y	Elbow_Right_Z	Wrist_Right_X	Wrist_Right_Y	Wrist_Right_Z	Hand_Right_X	Hand_Right_Y	Hand_Right_Z	Hip_Left_X	Hip_Left_Y	Hip_Left_Z	Knee_Left_X	Knee_Left_Y	Knee_Left_Z	Ankle_Left_X	Ankle_Left_Y	Ankle_Left_Z	Foot_Left_X	Foot_Left_Y	Foot_Left_Z	Hip_Right_X	Hip_Right_Y	Hip_Right_Z	Knee_Right_X	Knee_Right_Y	Knee_Right_Z	Ankle_Right_X	Ankle_Right_Y	Ankle_Right_Z	Foot_Right_X	Foot_Right_Y	Foot_Right_Z	
20190807T151230_Example1	Test 1	1	0002963_151445	1	red	0.271297	0.270234	2.701832	0.277667	0.331537	2.737228	0.276247	0.657777	2.725345	0.252956	0.823127	2.728167	0.100433	0.587819	2.775146	0.049158	0.361624	2.752687	0.000483	0.180713	2.603101	-0.006266	0.103894	2.526771	0.422070	0.598631	2.724430	0.509857	0.299207	2.732695	0.550312	0.071398	2.703515	0.577221	-0.014859	2.706632	0.198930	0.194403	2.704638	0.205395	-0.306365	2.775381	0.278286	-0.617918	3.056729	0.265135	-0.658205	2.972548	0.341880	0.201216	2.682744	0.318302	-0.269616	2.614000	0.301414	-0.633678	2.551846	0.288263	-0.673965	2.467665	
20190807T151230_Example1	Test 1	1	0002964_151445	1	red	0.268805	0.271629	2.623007	0.274888	0.333307	2.659979	0.273867	0.663039	2.648617	0.248951	0.829667	2.653566	0.101137	0.600417	2.689697	0.044284	0.336376	2.686074	-0.005088	0.137177	2.563432	-0.016676	0.059712	2.510537	0.419055	0.608782	2.644984	0.490730	0.316274	2.629559	0.522104	0.081757	2.590498	0.529723	-0.013025	2.577381	0.196075	0.198982	2.624295	0.184076	-0.285499	2.632765	0.250789	-0.612062	2.904048	0.253850	-0.690945	2.913646	0.339574	0.201048	2.606384	0.293446	-0.282184	2.570131	0.299325	-0.639225	2.540280	0.287719	-0.679112	2.456451	
20190807T151230_Example1	Test 1	1	0002965_151445	1	red	0.267826	0.275300	2.590468	0.274535	0.335432	2.631436	0.277477	0.665573	2.627778	0.244932	0.840738	2.611137	0.099512	0.603833	2.666196	0.039501	0.337010	2.653449	-0.012182	0.125091	2.558990	-0.029120	0.042066	2.512289	0.420090	0.603776	2.623292	0.485416	0.328477	2.598396	0.510369	0.085754	2.528576	0.515906	-0.010257	2.511818	0.193086	0.205111	2.580204	0.167716	-0.279023	2.569922	0.228986	-0.632488	2.811456	0.209498	-0.709711	2.806977	0.338403	0.202397	2.580995	0.281943	-0.283921	2.540281	0.296106	-0.638357	2.535134	0.285231	-0.677738	2.450645	
20190807T151230_Example1	Test 1	1	0002966_151445	1	red	0.255553	0.278207	2.551329	0.262776	0.339154	2.590978	0.265380	0.669927	2.582655	0.242563	0.836568	2.573299	0.093074	0.600391	2.626500	0.034737	0.336497	2.623571	-0.018937	0.116606	2.555102	-0.033591	0.035967	2.517876	0.416130	0.604016	2.577498	0.480844	0.322723	2.545417	0.497109	0.090017	2.472034	0.507130	0.013847	2.447632	0.182412	0.206985	2.553576	0.145760	-0.278295	2.505115	0.215866	-0.637227	2.729401	0.185258	-0.702699	2.696825	0.325607	0.204334	2.532204	0.278740	-0.287447	2.521413	0.293572	-0.639670	2.531939	0.281187	-0.679104	2.448332	
20190807T151230_Example1	Test 1	1	0002967_151445	1	red	0.251269	0.280342	2.524256	0.260239	0.340636	2.565717	0.262802	0.671138	2.558707	0.237970	0.837899	2.541727	0.087183	0.597547	2.612721	0.028945	0.334176	2.605071	-0.021023	0.109408	2.555089	-0.038586	0.030413	2.531498	0.411489	0.602383	2.553537	0.476203	0.322322	2.516451	0.476246	0.091840	2.416502	0.481581	0.008412	2.385417	0.175224	0.207593	2.521191	0.147217	-0.278033	2.446818	0.194735	-0.638874	2.615767	0.174121	-0.705596	2.579050	0.322795	0.206517	2.509161	0.290854	-0.289726	2.505218	0.290525	-0.642444	2.530239	0.275636	-0.681534	2.447376	
20190807T151230_Example1	Test 1	1	0002968_151445	1	red	0.233751	0.283162	2.460792	0.245590	0.343651	2.501876	0.249743	0.674194	2.492127	0.220350	0.840363	2.473635	0.074275	0.599885	2.552021	0.017963	0.331787	2.555235	-0.030590	0.103596	2.547409	-0.047306	0.029614	2.539103	0.393947	0.596675	2.475598	0.462008	0.329726	2.442307	0.458753	0.128953	2.310645	0.449370	0.044783	2.263268	0.157519	0.210993	2.460045	0.136842	-0.266140	2.355899	0.141407	-0.647064	2.390879	0.143818	-0.727004	2.366532	0.303522	0.209544	2.444263	0.298684	-0.291755	2.486891	0.289481	-0.645043	2.527191	0.255355	-0.736425	2.484465	
20190807T151230_Example1	Test 1	1	0002969_151445	1	red	0.227183	0.280537	2.422679	0.236585	0.342762	2.462151	0.250228	0.676030	2.443711	0.217551	0.836961	2.428164	0.071542	0.603052	2.498508	0.015104	0.332432	2.539477	-0.033598	0.104460	2.538582	-0.052663	0.031332	2.536897	0.391972	0.593189	2.450361	0.449756	0.331690	2.393001	0.448388	0.130838	2.261305	0.436913	0.041812	2.198507	0.151075	0.210575	2.425734	0.128623	-0.273963	2.319235	0.110984	-0.628386	2.269812	0.096391	-0.710667	2.203082	0.295328	0.206380	2.407743	0.298830	-0.285431	2.471569	0.289222	-0.645283	2.526475	0.277356	-0.685060	2.443264	
20190807T151230_Example1	Test 1	1	0002970_151445	1	red	0.212342	0.266040	2.361639	0.222835	0.329194	2.400393	0.236498	0.666192	2.380761	0.201424	0.832149	2.365722	0.061271	0.587984	2.429519	0.003253	0.324169	2.491662	-0.047811	0.098764	2.509703	-0.062682	0.024768	2.517214	0.375046	0.581397	2.375529	0.427827	0.333012	2.323780	0.422592	0.145066	2.173110	0.402006	0.071086	2.124099	0.137413	0.196912	2.368409	0.123616	-0.286453	2.278186	0.093851	-0.616271	2.137126	0.077938	-0.670520	2.044986	0.279033	0.193710	2.344303	0.294722	-0.297307	2.436997	0.287355	-0.646555	2.520036	0.287080	-0.727864	2.502938	
20190807T151230_Example1	Test 1	1	0002971_151445	1	red	0.195816	0.257795	2.293049	0.205013	0.320359	2.332341	0.213722	0.654790	2.314844	0.187251	0.819080	2.299070	0.041387	0.579424	2.369806	-0.009380	0.318202	2.431093	-0.062783	0.094371	2.453319	-0.075939	0.016477	2.460290	0.358492	0.569212	2.318273	0.411988	0.319082	2.249943	0.404406	0.132902	2.097682	0.379967	0.048438	2.031149	0.121004	0.187468	2.300275	0.110576	-0.290138	2.210209	0.083434	-0.621345	2.074875	0.082159	-0.674276	1.979908	0.263832	0.185716	2.273810	0.288809	-0.295766	2.375273	0.281310	-0.638075	2.498971	0.268237	-0.678524	2.414519	
20190807T151230_Example1	Test 1	1	0002972_151445	1	red	0.182943	0.248187	2.224425	0.190904	0.310683	2.265111	0.192370	0.646293	2.250560	0.162322	0.810585	2.237145	0.024128	0.567211	2.301270	-0.028607	0.301174	2.358697	-0.080013	0.077468	2.384412	-0.099236	0.001543	2.392967	0.334118	0.575750	2.252427	0.390154	0.310510	2.193772	0.388114	0.124957	2.040521	0.369284	0.066055	2.000326	0.110367	0.176688	2.227176	0.102700	-0.307396	2.155549	0.086190	-0.635413	2.055527	0.089529	-0.700930	1.967405	0.251643	0.179987	2.207553	0.272845	-0.297068	2.298847	0.280239	-0.655281	2.487336	0.266948	-0.695990	2.401943	
